number,handle name,handle ID,tweet,tweet time,retweet count,likes count
1,Joanne Cool,JoJoannecool,RT @FatimaHPepin2: L’incendie de Halifax est d’autant plus tragique qu’il a décimé 7 enfants d’une même famille syrienne qui a fui la guerre pour trouver paix et sécurité au Canada. Condoléances et courage aux parents et aux proches. Merci à la communauté pour sa solidarité. https://t.co/8CObdmRMe6,2019-02-22 01:40:18,4,0
2,Sandra O,SandraMHOey,"RT @DBCalabrese: Unimaginable sadness, but a heartening sense of community at a gathering of support for surviving Syrian refugee parents who lost all seven of their children in a devastating house fire.
Their names were Ahmad, Rola, Mohamad, Ola, Hala, Rana, and Abdullah
For @CdnPress 
#halifax https://t.co/MYt4pxrR9n",2019-02-22 01:39:57,31,0
3,Ugur Gencay,ugencay,"RT @JustinTrudeau: In times of tragedy, Canadians are there for each other. 
https://t.co/JgBeiLWHdV",2019-02-22 01:39:30,456,0
4,Jeff Forbes,jforbes67,"RT @StephenMcNeil: The Sackville-Bedford-Burnside Connector will extend Highway 107, build a high-speed bypass, and connect highways 101, 102, and 118. The connector will provide an important link between Bedford and Burnside, and make getting around the Greater Halifax area safer and easier. https://t.co/eBU98G5ZEF",2019-02-22 01:39:13,4,0
5,SaintMarysElementary,StMarysElemen,"RT @mrstopviolence: Me - ""Hey PM @JustinTrudeau my name's Quentrel Provo and I'm going to be Canada's 1st Black Prime Minister"" PM's response - ""Just let me get in a few more terms."" Haha okay deal and we shake on it! #halifax #Dartmouth #NovaScotia #cdnpoli #nspoli #BlackHistoryMonth https://t.co/Fg9WHN44iu",2019-02-22 01:38:38,35,0
6,Pamela,pdt1179,"RT @thestarhalifax: Tragedies like the fatal fire in Spryfield take a huge toll on first responders, and they’re expressing gratitude for an outpouring of support. https://t.co/lLGmOO3wJu",2019-02-22 01:38:21,7,0
7,Halifax Jobs,HalifaxJob,"Intermediate Java Developer: CGI Group Inc. (Halifax, NS): ""you someone that loves to learn and use new technologies to help develop new application solutions? We are seeking an enthusiastic Intermediate..."" halifax eluta https://t.co/2f55XHXwjK",2019-02-22 01:37:39,0,0
8,Megillus,Megillus,@Arch_Revival_ All is not well in Canada. This monstrosity of a library was recently built in Halifax. https://t.co/lihW1nVNIW,2019-02-22 01:37:12,0,0
9,Meaghan,megsd_23,This thread of true #EastCoastKindness really hit me hard. #Halifax https://t.co/fe1u5E6xYV,2019-02-22 01:36:45,0,0
10,Maro Ulusoy,UlusoyMaro,"RT @JustinTrudeau: Words fail when children are taken from us too soon, especially in circumstances like this. My heart goes out to the survivors of the horrible fire in Halifax this morning, and the loved ones who are mourning this tremendous loss.",2019-02-22 01:36:33,1503,0
11,Jeff Forbes,jforbes67,RT @RhondaBrown5: Even in the snow there is a lineup at @VandalDoughnuts Today all profits go to the #BarhoFamily #Halifax https://t.co/MyeXBn6p3H,2019-02-22 01:35:53,35,0
12,Itchy Palm Bob 96,BobDavis96,"7 children dead following tragic Halifax house fire
https://t.co/CSrNJ45VZo",2019-02-22 01:35:29,0,0
13,Blackburn News Essex,BlackburnEssex,The Windsor Islamic Association is stepping up to help the family of a tragic and deadly fire in Halifax #sxont https://t.co/Z7d02xruRT https://t.co/8Bz2HHpuHI,2019-02-22 01:35:22,0,0
14,Gaz Pearce,aggressorfleet,Photo TV Aerials Halifax/a&gt; https://t.co/O9xHBRWsHk,2019-02-22 01:35:18,0,0
15,Amarit Brar,amaritbrar,"RT @MPCelina: If you do one thing today, please RT this thread and help #Halifax help the #Barho family during this difficult time. Thank you @AndyFillmoreHFX https://t.co/aX224JMm4j",2019-02-22 01:35:17,16,0
16,Things to enjoy,thingstoenjoy,"#tourism - Amazing spots to visit in Halifax, Canada https://t.co/tu9Bv6Nada",2019-02-22 01:35:03,0,0
17,Montana Paul,3130Paul,"RT @mid_penn_motion: S/O to MPM soph @3130Paul (Halifax) &amp; MPM junior Alana Boyer (Susquenita) for being named to the Tri-Valley league 1st team all-star team!!!  Huge congrats to you, ladies!! #MPM",2019-02-22 01:35:02,1,0
18,Maro Ulusoy,UlusoyMaro,"RT @JustinTrudeau: Les mots nous manquent lorsque des enfants nous sont enlevés trop tôt, surtout dans des circonstances comme celles-là. Je suis de tout cœur avec les survivants de l’horrible incendie survenu à Halifax ce matin, et avec les proches qui pleurent cette perte immense.",2019-02-22 01:35:00,91,0
19,Jeff Forbes,jforbes67,"RT @KBRSAtlantic: Gain insight into your performance and potential. Develop a leadership plan and the mindset to achieve it. Register for Elevate Your Influence™ for Women, a 2-day leadership program with @CJWoodman - Halifax, April 23 &amp; 24. https://t.co/ea3y9M2Nf7 https://t.co/wL6Wz8FdZa",2019-02-22 01:34:57,5,0
20,Maro Ulusoy,UlusoyMaro,"RT @AndyFillmoreHFX: Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield. 

They arrived as refugees – but they became our neighbours. Our thoughts are with the survivors and their loved ones.

My statement from the House of Commons: https://t.co/p4nYBbwf8e",2019-02-22 01:34:24,293,0
21,Scott Fleetwood,fleets93,@OneB4IDie @NLLBandits @WGR550 @stevepriolo23 @chazfraz8 Positive...the team that will play the Bandits Friday are owned by Curt Styres &amp; are moving to Halifax next season to become the Halifax Thunderbirds...The Pegulas will own an expansion team in Rochester next season.,2019-02-22 01:34:05,0,0
22,Bernadette Keenan,BernadetteNTF,RT @NIPRGreens: “We’re coming and look out.” Halifax-area @CanadianGreens candidates joined @ElizabethMay at a news conference at @DalhousieU. @NSGreens #gpc #gmg4c #Election2019,2019-02-22 01:33:47,5,0
