number,handle name,handle ID,tweet,tweet time,retweet count,likes count
1,HHB,HHBridges,"#MacdonaldBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound medium volumes, Halifax bound medium volumes, drive with care",Sat Feb 23 18:46:02 +0000 2019,0,0
2,Loïc,cinqun4,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:46:05 +0000 2019,0,0
3,Arwa Gunja,Arwa_Gunja,"After this unimaginable tragedy, our community has come together to support each other after the loss of these 7 children: https://t.co/2GUfVhEhph",Sat Feb 23 18:46:16 +0000 2019,0,0
4,Arwa Gunja,Arwa_Gunja,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:46:18 +0000 2019,0,0
5,Cath,IleanaCarmina,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:46:22 +0000 2019,0,0
6,Axelle Goldie.,axellegoldie,"Words fail when children are taken from us too soon, especially in circumstances like this. My heart goes out to the survivors of the horrible fire in Halifax this morning, and the loved ones who are mourning this tremendous loss.",Sat Feb 23 18:46:22 +0000 2019,0,0
7,Cindy Johnston,Cinderoak,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:46:25 +0000 2019,0,0
8,me,__MaryEllen,"The family has asked for emergency staff to be part of today’s ceremony. Representatives from Halifax fire &amp; police services will form an honour guard, to escort the 7 caskets into the building. https://t.co/y0oUholcNr",Sat Feb 23 18:46:26 +0000 2019,0,0
9,Arwa Gunja,Arwa_Gunja,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:46:28 +0000 2019,0,0
10,Tania Andino,taniasworld1,"After this unimaginable tragedy, our community has come together to support each other after the loss of these 7 children: https://t.co/2GUfVhEhph",Sat Feb 23 18:46:33 +0000 2019,0,0
11,Bernard Toyambi,BernardToya,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:46:36 +0000 2019,0,0
12,Adrianna,Ad__rianna,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:46:38 +0000 2019,0,0
13,me,__MaryEllen,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:46:38 +0000 2019,0,0
14,CanadianBankingVictims.FightBack,BankersWatchDog,"@Cross11Sharon @dogwoodbc .
Bank Lobbying SCAMS

Same as #SNCLavelin
.
#Trudeau PAY for PLAY #Scandal
.
SPREAD the WORD 100X Larger than #SNC scandal

https://t.co/haulq7Slb5

#BMO #CIBC #BNS #RBD #TD #CPC #PPC #Canada #PEI #LavScam #cdnpoli #PEI #Saskatoon #Timmins #Moncton #Guelph #Quebec #Halifax #NDP",Sat Feb 23 18:46:45 +0000 2019,0,0
15,Kayla Hounsell,KaylaHounsell,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:46:51 +0000 2019,0,0
16,Rebecca Davies,RebsD,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:47:01 +0000 2019,0,0
17,Eduardo betancourt,Eduardo46321992,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:47:07 +0000 2019,0,0
18,Eliza200,rudybird100,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:47:09 +0000 2019,0,0
19,Bernard Toyambi,BernardToya,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:47:08 +0000 2019,0,0
20,Rebecca Davies,RebsD,"The family has asked for emergency staff to be part of today’s ceremony. Representatives from Halifax fire &amp; police services will form an honour guard, to escort the 7 caskets into the building. https://t.co/y0oUholcNr",Sat Feb 23 18:47:11 +0000 2019,0,0
21,Debbie Higgs,deborahjhiggs,"Our hearts are broken, as seven loved members of our community are laid to rest today. This painting, by one of our officers, honours the memory of those precious children. They will always be in our hearts. #BarhoFamily #canpolice @MikeSavageHFX https://t.co/HKdVVD7WND",Sat Feb 23 18:47:16 +0000 2019,0,0
22,bill nolen,roedio73,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:47:18 +0000 2019,0,0
23,AlexMimikos,AlexMimikosyaho,Halifax Regional Police &amp; Halifax fire have just arrived at the Cunard Centre to take part in today’s funeral for the #Barho children. https://t.co/C9T7lsbem1,Sat Feb 23 18:47:18 +0000 2019,0,0
24,Saint Negrita,AsthmaPumpPuffa,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:47:21 +0000 2019,0,0
