number,handle name,handle ID,tweet,tweet time,retweet count,likes count
1,Ibby Ali,ibbyali117,@TwitterSupport i see you are investigating into @almanee2 to consider reopening his account. Just to pet you know he's Halifax biggest nonce.,Fri Feb 22 11:51:12 +0000 2019,0,0
2,Ken Bowes RN,Kabowes1,"Me - ""Hey PM @JustinTrudeau my name's Quentrel Provo and I'm going to be Canada's 1st Black Prime Minister"" PM's response - ""Just let me get in a few more terms."" Haha okay deal and we shake on it! #halifax #Dartmouth #NovaScotia #cdnpoli #nspoli #BlackHistoryMonth https://t.co/Fg9WHN44iu",Fri Feb 22 11:51:19 +0000 2019,0,0
3,TheFloatationCentre,TheFloatCentre,"Our Featured Speaker today is:

@ipromiseperform 

Karen Furneaux is a native of Halifax, Nova Scotia, she won nine medals at the ICF Canoe Sprint World Championships. Furneaux also competed in three Summer Olympics
https://t.co/z7h8NlK4tJ
#FridayFeature
#ElevateYourEvent https://t.co/6Lu9cCh9Uj",Fri Feb 22 11:51:48 +0000 2019,0,0
4,Cat Wight,cwight24,"Many people have been affected by the tragic house fire this week in Halifax. An expert has given me this list, which has the contact information for grief support groups across Nova Scotia, in case anyone would like to speak about how they are feeling. https://t.co/MXckmfhHUs",Fri Feb 22 11:51:57 +0000 2019,0,0
5,Neil Putt,neil_putt,@AskHalifaxBank absolute shocking service. Phoned yesterday to be told I could turn up at Hammersmith to collect money under £10000. Turned up no notification of me.The gentlemen on phone was completely wrong with what he told me. Tired of awful service from HALIFAX. Very angry.,Fri Feb 22 11:52:03 +0000 2019,0,0
6,ilovelocalhfx,ILOVELOCALHFX,"During February ONLY! Build Your Own Tacos for 2 - Choose 2 fillings: al pastor, cochinita pibil, roasted mushroom, chicken tinga or carnitas. Comes with pico de gallo, guacamole, slaw, hot sauces + bottomless tortillas. $30 for 2 ppl, or $40 for 4 ppl. #DineAround #Halifax https://t.co/20ynKES4fP",Fri Feb 22 11:52:26 +0000 2019,0,0
7,Stone Gasman,stonegasman,"#Stonegasmoviechallenge2019 (FEB. 22: FAVORITE HOCKEY MOVIE) 

GOON (2011): While known primarily as the super-crude Stiffler, I can't emphasize enough how totally endearing Seann William Scott as ultra-nice, real-life enforcer Doug Glatt, who bleeds for the Halifax Higlanders. https://t.co/8S5PlOvCdt",Fri Feb 22 11:52:41 +0000 2019,0,0
8,Ibby Ali,ibbyali117,@TwitterSupport i see you are investigating into @almanee2 to consider reopening his account. Just to let you know he's Halifax biggest nonce.,Fri Feb 22 11:53:11 +0000 2019,0,0
9,FibrodisKo,FibrodisKo,"Studies suggest ""we’ve wiped out 60% of mammals, fish, birds and reptiles since 1970 ... As frightening as that is, the rate of insect extinction is eight times that of mammals, birds and reptiles.""
https://t.co/iZfexxbSao",Fri Feb 22 11:53:42 +0000 2019,0,0
10,ilovelocalhfx,ILOVELOCALHFX,"Don't miss The Modern Grass playing here Saturday, Feb 23 from 10pm 'til midnight. Reservations available via #OpenTable or just show up! It's FREE live music. #LiveMusic #Halifax",Fri Feb 22 11:54:39 +0000 2019,0,0
11,TheRealTeebs,REJEkTRADIO,Make sure I understand this in a simple form.The NS government is going to train Indigenous Peoples in the ways of cannabis? A government that bent over backwards to stop cannabis from being consumed now wants to train people that have been cultivating this for 1000's of years.,Fri Feb 22 11:54:59 +0000 2019,0,0
12,Dupuis Helene,tintinenamerik,"Les commentaires racistes, haineux, violents suite à l’incendie où des Syriens ont perdu la vie à Halifax.  Ceux qui les ont émis sont facilement repérables. Ils doivent être sévèrement sanctionnés.",Fri Feb 22 11:55:43 +0000 2019,0,0
13,Calela,calela,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 11:56:18 +0000 2019,0,0
14,Trudie Hills,trudieh17,"We're gathering customer insight to inform our plans. Do you have a visible #disability? Do you bank with Bank of Scotland, Halifax or Lloyds Bank? Can you attend a focus group in London on 19th March? If so we want to hear from you! Learn more &amp; sign up: https://t.co/3Qj7gHlTp0 https://t.co/Ao6t3PSM4V",Fri Feb 22 11:56:30 +0000 2019,0,0
15,Patrón 2,2Al2maanee,@TwitterSupport i see you are investigating into @almanee2 to consider reopening his account. Just to let you know he's Halifax biggest nonce.,Fri Feb 22 11:57:25 +0000 2019,0,0
16,Loafers,loafersvinyl,"Day Tripper: Halifax for @BandsFC exhibtion and met some cool guys in @loafersvinyl discussing Weller, The Specials and Chas n Dave!
Cheers! https://t.co/weVLkbnDJ0",Fri Feb 22 11:57:36 +0000 2019,0,0
17,Gildas LE MOAL,GildasDev,"Studies suggest ""we’ve wiped out 60% of mammals, fish, birds and reptiles since 1970 ... As frightening as that is, the rate of insect extinction is eight times that of mammals, birds and reptiles.""
https://t.co/iZfexxbSao",Fri Feb 22 11:58:31 +0000 2019,0,0
18,Cathy-J,laddie08,Good morning #Halifax! It's audition day! All the best to our auditionees and I look forward to meeting you all. #music #ClassicalMusic #AUDITION #auditions #musicatmemorial @MemorialU @MemorialFutureU @musicatmemorial https://t.co/6pyBWxbxUu,Fri Feb 22 11:58:52 +0000 2019,0,0
19,Nicky Chance-Thompson,nickychanthomp,"Day Tripper: Halifax for @BandsFC exhibtion and met some cool guys in @loafersvinyl discussing Weller, The Specials and Chas n Dave!
Cheers! https://t.co/weVLkbnDJ0",Fri Feb 22 11:59:02 +0000 2019,0,0
20,Sally Moen,SallyMoen2,A Halifax MP says the Syrian mother of the 7 children who died in a house fire has requested that her mother and brother be allowed to immigrate to Canada to be with her. https://t.co/5TL84RPVJx,Fri Feb 22 11:59:52 +0000 2019,0,0
21,CBCL Limited,cbcllimited,"Mechanical Technologist (3122-MTBS): CBCL Limited (Saint John NB): ""Limited is a 100% employee-owned firm offering a full range of engineering and environmental consulting services based in Halifax, NS with offices..."" AtlanticCanada #NB eluta https://t.co/bBcFgr6uzy",Fri Feb 22 11:59:56 +0000 2019,0,0
22,Cole Hbr Wx - EW3446,ColeHbrNSwx,"Wnd WNW 19 km/h, Max 40.7 km/h at 03:17, Dry, T -7.8C, Chill -14C, H -2.9C, L -8.1C, Rn24h 0.0 mm, DP -10.1C, Hum 84%, Baro 1016.0 hPa and Rising, High 1016.0  hPa at 07:59, Low 1005.9  hPa at 00:00 https://t.co/IWubRM5ZpZ #ColeHarbour #Halifax #NSwx",Fri Feb 22 12:00:03 +0000 2019,0,0
23,Niki Jabbour,NikiJabbour,It's a great weekend to sow some seeds! Get my seed-starting tips here - 'Get Growing - Learn how to start your own seeds!' https://t.co/ab4DYpkQgV via @YouTube #growyourown #Halifax #gardening,Fri Feb 22 12:00:14 +0000 2019,0,0
24,Shawn Puddester,ShawnPuddester,"Tragedies like the fatal fire in Spryfield take a huge toll on first responders, and they’re expressing gratitude for an outpouring of support. https://t.co/lLGmOO3wJu",Fri Feb 22 12:00:47 +0000 2019,0,0
25,100+WomenHalifax,100WomenHalifax,"Only 2 weeks until our next meeting on Mar 5! See here for info: https://t.co/WF4uuVzyZi

If you're not a member yet, sign up now: https://t.co/w6nd3s9Iiu

Thanks to our generous sponsors @organizenow @Chantal_D_R &amp; the GWA @Manulife

#GivingBack #Halifax #ThePowerOf100 https://t.co/LMYpEv3Ppf",Fri Feb 22 12:00:53 +0000 2019,0,0
26,Writers' Fed of NS,WFNS,"Have you heard? There's a new section of the popular WFNS fiction workshop, First Words: Fiction, coming to Halifax this April. For more information and to sign up, check out our website.

https://t.co/f5WU2O5T9E https://t.co/wjQCxsAdn2",Fri Feb 22 12:00:55 +0000 2019,0,0
27,Farmers' Markets NS,MarketFreshNS,"At Halifax's @brewerymarket, you'll find delicious coffee, prepared foods, drinks, fresh groceries &amp; produce, lovely seating, live music, and a lively children’s area. Free parking for customers has been provided by@My_Waterfront #hfxbrewerymarket @huttenfarm https://t.co/C1d09ihckp",Fri Feb 22 12:01:09 +0000 2019,0,0
28,Calderdale Council,Calderdale,"Come along tomorrow to the Halifax Record Fair in the Albany Arcade, Halifax Borough Market. The day will be run by Mind’s Eye Records and there will be an opportunity to buy quality new and used records and cds. Free Entry, 10am-4pm. #MarketsMagic https://t.co/SBE7cZjTJM",Fri Feb 22 12:01:17 +0000 2019,0,0
29,5thCanadianDivision,5CdnDiv,"The #MightyMaroonMachine and our #5DivSoldiers are looking forward to the #MemorialCup this spring in Halifax!
La #MightyMaroonMachine et nos #Soldats5ediv attendent avec impatience la #MemorialCup ce printemps! @CFBHalifax @HFXMooseheads  @hfxgov",Fri Feb 22 12:01:20 +0000 2019,0,0
30,Dan Lazarz,Lazarz12,"Here are 7 serious reasons why Homes should be equipped with #homesprinkers!!!

#makehomesprinklerlaw!!!

@ONFireChiefs @CdnFireChiefs @HFSCorg 

Baseboard heater may have caused Halifax house fire that killed seven children https://t.co/U1oSluXJhD via @torontostar",Fri Feb 22 12:02:08 +0000 2019,0,0
31,Network23,Network232,"I'm going to give away my physical copy of @TribeOfHackers when the Kindle version is available. 

Two rules:

1. We've never met before
2. Track me down at @AtlSecCon,  introduce yourself, and mention the book 

#infosec #Halifax
#NovaScotia #AtlanticCanada",Fri Feb 22 12:02:42 +0000 2019,0,0
32,Bryan LaPlante,BryanDLaPlante,"Pretty excited to be prepping to teach my first Ukulele Bootcamp over the March break! If you are in the Halifax area, come on down to a FREE session and jam with us! https://t.co/33NrXGAPcN",Fri Feb 22 12:03:02 +0000 2019,0,0
33,Johnny Macdonald,JohnnyM08493736,Yeah the little 13 year old girl that got raped and murdered by a Syrian refugee in Burnaby wasn't even acknowledged by him. https://t.co/fGxwofKNZC,Fri Feb 22 12:03:05 +0000 2019,0,0
34,NCCDH | CCNDS,NCCDH_CCNDS,"In Halifax, healthy eating isn't always easy or affordable. We all have a role to play in shaping the future of food in our communities. 

Learn more and take action at https://t.co/9HdBMDO7ub #hfxfoodcharter #NSPoli https://t.co/i1KK2CD4Bj",Fri Feb 22 12:03:18 +0000 2019,0,0
35,Moira LeBlanc,MoiraLeBlanc,A Halifax MP says the Syrian mother of the 7 children who died in a house fire has requested that her mother and brother be allowed to immigrate to Canada to be with her. https://t.co/134cOZ66x4,Fri Feb 22 12:03:23 +0000 2019,0,0
36,The Blurb,erinsblurbs,Halifax Regional Fire and Emergency took to social media to thank the public for an outpouring of support and asked that gifts or donations go to the Barho parents who lost their seven children in the tragic fire. “Doing for them is doing for us.” https://t.co/x1eDILrdOi,Fri Feb 22 12:04:14 +0000 2019,0,0
37,HalifaxShippingNews,HfxShippingNews,Looks like the first AOPS has an Automatic Identification System now. #soon #halifax #hmcsharrydewolfe #ais #boatnerd @HfxShippingNews https://t.co/FRdn6EK0aW,Fri Feb 22 12:04:39 +0000 2019,0,0
38,Killam Apartments,KillamTweets,"At Halifax's @brewerymarket, you'll find delicious coffee, prepared foods, drinks, fresh groceries &amp; produce, lovely seating, live music, and a lively children’s area. Free parking for customers has been provided by@My_Waterfront #hfxbrewerymarket @huttenfarm https://t.co/C1d09ihckp",Fri Feb 22 12:04:42 +0000 2019,0,0
39,The Star Halifax,thestarhalifax,"“This case is about a trade that turned into a robbery, and a robbery that turned into murder,” Crown attorney Erica Koresawa said in her opening remarks to the 14-person jury on Thursday afternoon.
https://t.co/aNffcWzRp9",Fri Feb 22 12:05:15 +0000 2019,0,0
40,rhea chubey,rchubey,"Tragedies like the fatal fire in Spryfield take a huge toll on first responders, and they’re expressing gratitude for an outpouring of support. https://t.co/lLGmOO3wJu",Fri Feb 22 12:05:31 +0000 2019,0,0
41,Daniel Joseph Samson,ruralcolonialNS,"@tpcanoe I'm not quite sure I understand that, but it's interesting - also interesting to note (from Wiki page) that similar numbers oppose (though in Britsol more (44%) support removal while in Halifax at best 31% approved https://t.co/0wC8Cfh70s",Fri Feb 22 12:05:39 +0000 2019,0,0
42,positively shaymen,positiveshaymen,"Just been over to Piece Hall in Halifax and went into a great record shop called @loafersvinyl if you are over that way check out, a really nice fella runs it and the hot chocolate was quality &amp; I bought a Belltower record! #vinyl",Fri Feb 22 12:05:56 +0000 2019,0,0
43,Halifax Weather,wxHALIFAX,8am: Light Snowshower -7.7C - Feels: -15C / 5F] - https://t.co/Uc4LrEtkHx - Wind: NNW 22km/h - Barometer: 101.7 kPa ^ - Vis: 24.1km - Hum: 81% #Halifax (Shearwater) #Weather,Fri Feb 22 12:06:06 +0000 2019,0,0
44,Lesley Crewe,LesleyCrewe,"Thanks, Neil of @BookmarkHalifax for coming out to @WFNS Evening with @LesleyCrewe last night. A mighty little bookstore supporting our local authors. #buylocal #bookstore #halifax #independentbookstores #grateful @MichaelTHamm https://t.co/jOXLwegETm",Fri Feb 22 12:06:29 +0000 2019,0,0
45,HHB,HHBridges,"#MacdonaldBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound medium volumes, Halifax bound heavy volumes, drive with care, winter conditions, reduce speed and use caution.",Fri Feb 22 12:07:03 +0000 2019,0,0
46,965 The Breeze,965breeze,"#MacdonaldBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound medium volumes, Halifax bound heavy volumes, drive with care, winter conditions, reduce speed and use caution.",Fri Feb 22 12:07:25 +0000 2019,0,0
47,Luisa  Parra F,luisafamily,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:07:38 +0000 2019,0,0
48,positively shaymen,positiveshaymen,"The impressive Piece Hall, Halifax, Yorkshire, wouldn't look out of place in Rome. @StormHour @ThePhotoHour #Yorkshire https://t.co/nOb0HnyD9H",Fri Feb 22 12:07:54 +0000 2019,0,0
49,Jessie Pierre,Jessie_YOW,"""Now, the family needs us more than ever."" Syrian refugee chocolatier @Peacebychoco tells @cbchh about why he's donating sales proceeds today to help the Barho family who lost seven children in the devastating Halifax house fire this week. https://t.co/HMhpQy8pCh",Fri Feb 22 12:09:14 +0000 2019,0,0
50,CCLO,CCristinaLO,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:09:19 +0000 2019,0,0
51,actualité soccer canadien,SoccerCanadien,Yesterday was a special day : I signed my first pro soccer contract with the Halifax Wanderers! I wanted to thank everyone that supported me during that process! I'm so excited to start this new chapter and I will do my best to make our fans proud!,Fri Feb 22 12:09:34 +0000 2019,0,0
52,Halifax Courier,HXCourier,"Film crews visited the Grade I Listed building back in July last year and saw thousands of people bringing their treasures to be valued. #Halifax
https://t.co/bHlTKIuhkH",Fri Feb 22 12:10:00 +0000 2019,0,0
53,HHB,HHBridges,"#MacKayBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound heavy volumes, Halifax bound heavy volumes, drive with care",Fri Feb 22 12:10:03 +0000 2019,0,0
54,Pete's Frootique & Fine Foods,PetesNS,Breakfast doesn’t have to be boring! This week for #familyfunfriday @eatwithjessie shares her favourite yogurt bowl recipe. Everyone can build their own exactly how they like it! Recipe is on our website: https://t.co/ZcFe1HE6QG #fresh #yogurt #breakfast #easy #BedfordNS #Halifax https://t.co/3LS8ohFN16,Fri Feb 22 12:10:06 +0000 2019,0,0
55,CBC Halifax Traffic,CBCHfxTraffic,"#MacdonaldBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound medium volumes, Halifax bound heavy volumes, drive with care, winter conditions, reduce speed and use caution.",Fri Feb 22 12:10:13 +0000 2019,0,0
56,CBC Halifax Traffic,CBCHfxTraffic,"#MacKayBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound heavy volumes, Halifax bound heavy volumes, drive with care",Fri Feb 22 12:10:16 +0000 2019,0,0
57,Sprygurl,JoniLynnStewart,"Many people have been affected by the tragic house fire this week in Halifax. An expert has given me this list, which has the contact information for grief support groups across Nova Scotia, in case anyone would like to speak about how they are feeling. https://t.co/MXckmfhHUs",Fri Feb 22 12:10:18 +0000 2019,0,0
58,Abigail Kellett,ReporterAbigail,"Film crews visited the Grade I Listed building back in July last year and saw thousands of people bringing their treasures to be valued. #Halifax
https://t.co/bHlTKIuhkH",Fri Feb 22 12:10:39 +0000 2019,0,0
59,Emma Gee,EmmaGee82743438,"Something GIANT is coming to @ThePieceHall, #Halifax and Geraldine Mary Harmsworth Park (home of @I_W_M), #London this spring! Find out more about #ZARA2019 here: https://t.co/hQq43Wnrp1 https://t.co/NvkUlfnhZp",Fri Feb 22 12:10:43 +0000 2019,0,0
60,Kathi King,keking46,"Me - ""Hey PM @JustinTrudeau my name's Quentrel Provo and I'm going to be Canada's 1st Black Prime Minister"" PM's response - ""Just let me get in a few more terms."" Haha okay deal and we shake on it! #halifax #Dartmouth #NovaScotia #cdnpoli #nspoli #BlackHistoryMonth https://t.co/Fg9WHN44iu",Fri Feb 22 12:11:04 +0000 2019,0,0
61,BC,fevbob_,@FevRovers @jmidandsons @Jackbussey @Halifax_RLFC @Betfred @turner_calum @hardylion4 @CAMKINGY @Brad_Day1 @locky86 @JohnDavies2491 @luke17cooper @D_maskill Halifax fans will say our team is full with Rhinos players ......,Fri Feb 22 12:11:17 +0000 2019,0,0
62,Katie Telford,telfordk,"I was very proud of the ANS Youth and their Mentors who met with @JustinTrudeau today. Their experiences have made them better, not bitter and they are stronger together as they take up the fight for #racialjustice &amp; against #ABRacism. Speaking truth to power #BHM2019 https://t.co/5DxiFrIWUm",Fri Feb 22 12:11:23 +0000 2019,0,0
63,Carolina Guerrini,GuerriniCarola,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:11:26 +0000 2019,0,0
64,Venezuela,ytguiller,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:11:49 +0000 2019,0,0
65,Sharon Meadows,sharonmeadows66,"Halifax Police have told us that Pleasant St between Atlantic St and Mount Hope Ave in Dartmouth, is blocked to vehicle traffic in both directions and will remain closed for an extended period due to a vehicle/pedestrian collision Fatality, at 350 Pleasant Street Dartmouth. https://t.co/0yuGfDRJp2",Fri Feb 22 12:12:21 +0000 2019,0,0
66,Nicky Chance-Thompson,nickychanthomp,"Film crews visited the Grade I Listed building back in July last year and saw thousands of people bringing their treasures to be valued. #Halifax
https://t.co/bHlTKIuhkH",Fri Feb 22 12:12:33 +0000 2019,0,0
67,miguel monteverde,migmonteve,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:13:14 +0000 2019,0,0
68,Emma Walters,emmawalters,Beautiful but emotional couple of days far from home but still feel connected #endcliffepark #familyhistory #remembertheten #tonygotaflypast #missmynan #family @ Halifax Hall https://t.co/icqx0POLEj,Fri Feb 22 12:13:27 +0000 2019,0,0
69,Michel Hindlet for Sackville-Cobequid,voteformichel,"The Sackville-Bedford-Burnside Connector will extend Highway 107, build a high-speed bypass, and connect highways 101, 102, and 118. The connector will provide an important link between Bedford and Burnside, and make getting around the Greater Halifax area safer and easier. https://t.co/eBU98G5ZEF",Fri Feb 22 12:13:42 +0000 2019,0,0
70,Jeremy,Jer_Godfrey,Good Friday morning #halifax. Hard to believe this is the last weekend in February. This month has flown by so quickly. #FridayThoughts https://t.co/MWgeS7ocXH,Fri Feb 22 12:13:56 +0000 2019,0,0
71,cristylonglegs,cristylonglegs,"“This case is about a trade that turned into a robbery, and a robbery that turned into murder,” Crown attorney Erica Koresawa said in her opening remarks to the 14-person jury on Thursday afternoon.
https://t.co/aNffcWzRp9",Fri Feb 22 12:13:58 +0000 2019,0,0
72,Hutten Family Farm,huttenfarm,"At Halifax's @brewerymarket, you'll find delicious coffee, prepared foods, drinks, fresh groceries &amp; produce, lovely seating, live music, and a lively children’s area. Free parking for customers has been provided by@My_Waterfront #hfxbrewerymarket @huttenfarm https://t.co/C1d09ihckp",Fri Feb 22 12:14:01 +0000 2019,0,0
73,Blackburn News Essex,BlackburnEssex,"If you want to help the family in Halifax that lost 7 children in a house fire, the #Windsor Mosque is taking donations. #sxont
https://t.co/Z7d02x9Ttj https://t.co/DYNgFpeFTj",Fri Feb 22 12:15:00 +0000 2019,0,0
74,Emma Walters,emmawalters,Beautiful but emotional couple of days far from home but still feel connected #endcliffepark #familyhistory #remembertheten #tonygotaflypast #missmynan #family #MiAmigo @ Halifax Hall https://t.co/ld6rRv5erZ,Fri Feb 22 12:15:13 +0000 2019,0,0
75,Empire Chapter NFSA,EmpireNfsa,"Here are 7 serious reasons why Homes should be equipped with #homesprinkers!!!

#makehomesprinklerlaw!!!

@ONFireChiefs @CdnFireChiefs @HFSCorg 

Baseboard heater may have caused Halifax house fire that killed seven children https://t.co/U1oSluXJhD via @torontostar",Fri Feb 22 12:15:13 +0000 2019,0,0
76,965 The Breeze,965breeze,"#MacKayBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound heavy volumes, Halifax bound heavy volumes, drive with care",Fri Feb 22 12:15:24 +0000 2019,0,0
77,Global Halifax,globalhalifax,Members of @TeamThompsonNS will stop by to chat with @Jeremy_Keefe ahead of their upcoming trip to the Brier. https://t.co/2MdhBYbvCV https://t.co/voTxmnaEVr,Fri Feb 22 12:15:55 +0000 2019,0,0
78,APNS,ApnsPsych,"IWK &amp; APNS present Psychology Month free film screening: The Perks of Being a Wallflower. Halifax Central Library, O'Regan Hall this Saturday, Feb 23 at 1:30. following the screening, an open discussion led by IWK Psychologists on teen mental health issues. https://t.co/Wuc97yyPXk",Fri Feb 22 12:16:09 +0000 2019,0,0
79,Warren James,hawley4209,It's a great weekend to sow some seeds! Get my seed-starting tips here - 'Get Growing - Learn how to start your own seeds!' https://t.co/ab4DYpkQgV via @YouTube #growyourown #Halifax #gardening,Fri Feb 22 12:17:07 +0000 2019,0,0
80,The New Arab,The_NewArab,A fundraising effort for a Syrian-refugee couple who lost all seven of their children in a house fire in the eastern Canadian city of Halifax has raised thousands https://t.co/mnkEC6o4aO,Fri Feb 22 12:17:25 +0000 2019,0,0
81,Rmot3d,rmot3d,A Halifax MP says the Syrian mother of the 7 children who died in a house fire has requested that her mother and brother be allowed to immigrate to Canada to be with her. https://t.co/134cOZ66x4,Fri Feb 22 12:18:21 +0000 2019,0,0
82,Mattatall Signs Ltd,MattatallSigns,Do you miss summer? We do. Here's a reminder of how beautiful Downtown #Halifax is in the summer. This architectural #sign we did at Founders Square perfectly compliments the look and feel of the building. https://t.co/i7BpOvggRI,Fri Feb 22 12:18:26 +0000 2019,0,0
83,Florencia Tischler,flotischler,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:18:29 +0000 2019,0,0
84,RotaryHfxHarbourside,RotHfxHarbour,This morning we celebrated the one-year anniversary of the arrival of the Balanga family from Uganda. We’ve helped them settle in #Halifax and welcomed them into our hearts. @rotary https://t.co/6695XOE4SP,Fri Feb 22 12:18:32 +0000 2019,0,0
85,luis uzcategui,napoleonlp,"Mañana 23 de Febrero estaremos apoyando la entrada de la Ayuda Humanitaria desde varias ciudades en Canadá Ven y acércate a 
Ottawa Montréal Vancouver Halifax
Calgary Edmonton Toronto. Asiste y acompáñanos al punto más cercano! Apoyemos a #VenezuelaUnidaEnCanada https://t.co/9t6EePLi9M",Fri Feb 22 12:19:02 +0000 2019,0,0
86,Team Stuart Thompson,TeamThompsonNS,Members of @TeamThompsonNS will stop by to chat with @Jeremy_Keefe ahead of their upcoming trip to the Brier. https://t.co/2MdhBYbvCV https://t.co/voTxmnaEVr,Fri Feb 22 12:19:59 +0000 2019,0,0
87,Halifax Courier,HXCourier,"Firefighters tackled a house fire in Halifax as paramedics gave medical treatment to a resident who fled from the property.
https://t.co/UQT12kN0wt",Fri Feb 22 12:20:00 +0000 2019,0,0
88,ReadyAyeReady,ReadyAyeReady,"#Ships of the #RCNavy: HMCS AMHERST (Corvette) Commissioned on August 5, 1941 at Saint John, N.B., she arrived at Halifax on August 22 and after working up, joined Newfoundland command in October. She was steadily employed as an ocean ...  https://t.co/Oigqg22HBC #Canadian #Navy https://t.co/ktFAv2yow8",Fri Feb 22 12:20:03 +0000 2019,0,0
